nyt_name,slug,state_id
Mark Souder,mark-souder,IN
Tom Latham,tom-latham,IA
Sam Brownback,sam-brownback,KS
Todd Tiahrt,todd-tiahrt,KS
Walter B. Jones,walter-b-jones,NC
Steven C. LaTourette,steven-c-latourette,OH
Tom Coburn,tom-coburn,OK
Chaka Fattah ,chaka-fattah,PA
Mike Doyle ,mike-doyle,PA
Lindsey Graham,lindsey-graham,SC
Zach Wamp,zach-wamp,TN
Pete Sessions ,pete-sessions,TX
Lloyd Doggett ,lloyd-doggett,TX
William M. Thornberry ,william-m-thornberry,TX
Sheila Jackson-Lee,sheila-jackson-lee,TX
Edward Whitfield,edward-whitfield,KY
John Shadegg,john-shadegg,AZ
John Ensign,john-ensign,NV
John F. Tierney,john-f-tierney,MA
Rodney Frelinghuysen,rodney-frelinghuysen,NJ
Donna Edwards,donna-edwards,MD
Jesse L. Jackson Jr.,jesse-l-jackson-jr,IL
Tom Udall,tom-udall,NM
Gwen Moore ,gwen-moore,WI
Elijah E. Cummings,elijah-e-cummings,MD
Earl Blumenauer ,earl-blumenauer,OR
Danny K. Davis,danny-k-davis,IL
Adam Smith ,adam-smith,WA
Jeff Sessions,jeff-sessions,AL
Carolyn McCarthy,carolyn-mccarthy,NY
Steven R. Rothman,steven-r-rothman,NJ
Marion Berry,marion-berry,AR
Brad Sherman,brad-sherman,CA
Ellen O. Tauscher,ellen-o-tauscher,CA
Mark Udall,mark-udall,CO
Debbie Stabenow,debbie-stabenow,MI
Carolyn Cheeks Kilpatrick,carolyn-cheeks-kilpatrick,MI
Roy Blunt,roy-blunt,MO
Jerry Moran,jerry-moran,KS
Robert B. Aderholt,robert-b-aderholt,AL
Leonard L. Boswell,leonard-l-boswell,IA
Bill Pascrell Jr.,bill-pascrell-jr,NJ
John Thune,john-thune,SD
Bob Etheridge,bob-etheridge,NC
Loretta Sanchez,loretta-sanchez,CA
Dennis J. Kucinich,dennis-kucinich,OH
Kay Granger ,kay-granger,TX
Vic Snyder,vic-snyder,AR
Susan Collins,susan-collins,ME
Ruben Hinojosa ,ruben-hinojosa,TX
Silvestre Reyes,silvestre-reyes,TX
Ron Paul,ron-paul,TX
Kevin Brady ,kevin-brady,TX
Walt Minnick,walt-minnick,ID
Denny Rehberg,denny-rehberg,MT
Michael B. Enzi,michael-b-enzi,WY
Ron Kind ,ron-kind,WI
Mike McIntyre,mike-mcintyre,NC
Jim McGovern cjl,jim-mcgovern,MA
Brian Baird,brian-baird,WA
Allen Boyd,allen-boyd,FL
Robert Wexler,robert-wexler,FL
George S. LeMieux,george-s-lemieux,FL
Bill Delahunt,bill-delahunt,MA
Jo Ann Emerson,jo-ann-emerson,MO
Bob Casey,bob-casey,PA
Ciro D. Rodriguez,ciro-d-rodriguez,TX
Donna M.C. Christensen,donna-mc-christensen,VI
