"state","dem2012","rep2012","dem2008","rep2008","dem2004","rep2004","dem2000","rep2000","dem1996","rep1996","dem1992","rep1992","dem1988","rep1988","dem1984","rep1984","dem1980","rep1980","dem1976","rep1976","dem1972","rep1972","dem1968","rep1968","dem1964","rep1964","dem1960","rep1960","X.3","dem1956","rep1956","dem1952","rep1952","diff2012","diff2008","diff2004","diff2000","diff1996","diff1992","diff1988","diff1984","diff1980","diff1976","diff1972","diff1968","diff1964","diff1960","diff1956","diff1952","pvi2012","pvi2008","pvi2004","pvi2000","pvi1996","pvi1992","pvi1988","pvi1984","pvi1980","pvi1976","pvi1972","pvi1968","pvi1964","pvi1960","pvi1956","pvi1952","postal"
"New Jersey",58.25,40.5,57.14,41.61,52.92,46.24,56.13,40.29,53.72,35.86,42.95,40.58,42.6,56.24,39.2,60.09,38.56,51.97,47.92,50.08,36.77,61.57,43.97,46.1,65.61,33.86,49.96,49.16,"0.00%",34.23,64.68,41.99,56.81,17.75,15.53,6.68,15.84,17.86,2.37,-13.64,-20.89,-13.41,-2.16,-24.8,-2.13,31.75,0.800000000000004,-30.45,-14.82,7.02316509802204,4.17181150077194,4.61071790922538,7.94912840737358,5.23833724200676,-2.03648100401024,-3.00183808608867,-1.35327481719422,-2.09906117139684,-2.15198984792693,-0.820945135009571,-0.776098377576923,4.61513242855947,0.317926188049267,-7.64162367592138,-2.04828660436138,"NJ"
"New Mexico",52.99,42.84,56.91,41.78,49.05,49.84,47.91,47.85,49.18,41.86,45.9,37.34,46.9,51.86,39.23,59.7,36.78,54.97,48.28,50.75,36.56,61.05,39.75,51.85,59.22,40.24,50.15,49.41,"0.00%",41.78,57.81,44.28,55.39,10.15,15.13,-0.790000000000006,0.0599999999999952,7.32,8.56,-4.96,-20.47,-18.19,-2.47,-24.49,-12.1,18.98,0.740000000000002,-16.03,-11.11,3.33165970278759,3.97393732373632,0.842990528196308,-0.233606744133064,-0.710194884680126,1.68662578448787,1.38706427076071,-1.17928399870765,-4.60548308702479,-2.29704587094202,-0.756451739605396,-6.19848819277645,-1.80292914535922,0.286010131897763,-0.296839146399169,-0.12167879860237,"NM"
"New York",63.33,35.19,62.88,36.03,58.37,40.08,60.21,35.23,59.47,30.61,49.73,33.88,51.62,47.52,45.83,53.84,43.99,46.66,51.95,47.52,41.21,58.54,49.76,44.3,68.56,31.31,52.53,47.27,"0.00%",38.78,61.19,43.55,55.45,28.14,26.85,18.29,24.98,28.86,15.85,4.09999999999999,-8.01000000000001,-2.66999999999999,4.43,-17.33,5.46,37.25,5.26,-22.41,-11.9,12.3171875158823,9.88146546313896,10.5314034196716,12.8218210121814,11.2886883575541,6.02339829082882,5.96598531658263,5.14815472151425,3.83462626550184,1.17685301926921,3.10165269574792,3.30871802234035,7.3047906410166,2.54964547812255,-3.4572048683258,-0.558387614462391,"NY"
"North Carolina",48.35,50.39,49.7,49.38,43.58,56.02,43.2,56.03,44.04,48.73,42.65,43.44,41.71,57.97,37.89,61.9,47.18,49.3,55.27,44.22,28.89,69.46,29.24,39.51,56.15,43.85,52.11,47.89,"0.00%",50.66,49.34,53.91,46.09,-2.04,0.32,-12.44,-12.83,-4.69,-0.789999999999999,-16.26,-24.01,-2.12,11.05,-40.57,-10.27,12.3,4.22,1.31999999999999,7.81999999999999,-2.99719267575028,-3.52999397032162,-5.00255567725447,-6.72971386166992,-7.25816259892628,-3.91395514818715,-4.25789713510217,-2.8638485730938,4.20865015231891,4.50337291030331,-8.83694825502759,-7.06277560841759,-5.19445337620579,2.0243749370404,8.41115764042681,9.36171339563862,"NC"
"North Dakota",38.7,58.32,44.5,53.15,35.5,62.86,33.05,60.66,40.13,46.94,32.18,44.22,42.97,56.03,33.8,64.84,26.26,64.23,45.8,51.66,35.79,62.07,38.23,55.94,57.97,41.88,44.52,55.42,"0.00%",38.09,61.72,28.39,70.97,-19.62,-8.65,-27.36,-27.61,-6.81,-12.04,-13.06,-31.04,-37.97,-5.86,-26.28,-17.71,16.09,-10.9,-23.63,-42.58,-12.0754939283043,-8.12056309981009,-12.6656684781939,-14.9965538889667,-8.64105238716837,-11.3347141371668,-2.6977572126027,-6.56756717697136,-15.6728953562234,-4.05631061584009,-1.63897569927397,-8.99689166545176,-3.28736774776313,-5.53889702613751,-4.08633359291653,-15.9754202597559,"ND"
"Ohio",50.58,47.6,51.38,46.8,48.71,50.81,46.46,49.97,47.38,41.02,40.18,38.35,44.15,55,40.14,58.9,40.91,51.51,48.92,48.65,38.07,59.63,42.95,45.23,62.94,37.06,46.72,53.28,"0.00%",38.89,61.11,43.24,56.76,2.98,4.58000000000001,-2.1,-3.51,6.36,1.83,-10.85,-18.76,-10.6,0.270000000000003,-21.56,-2.27999999999999,25.88,-6.56,-22.22,-13.52,-0.446555977450291,-1.35902903753151,0.187359933742565,-2.08490810237155,-1.13312071311614,-2.28997317379733,-1.57330543308284,-0.304505859696147,-0.427366008670849,-0.911586830104039,0.754592619764716,-0.88649486036092,1.59554662379421,-3.3656250629596,-3.35884235957318,-1.30828660436138,"OH"
"Oklahoma",33.23,66.77,34.35,65.65,34.43,65.57,38.43,60.31,40.45,48.26,34.02,42.65,41.28,57.93,30.67,68.61,34.97,60.5,48.75,49.96,24,73.7,31.99,47.68,55.75,44.25,40.98,59.02,"0.00%",44.87,55.13,45.41,54.59,-33.54,-31.3,-31.14,-21.88,-7.81,-8.63,-16.65,-37.94,-25.53,-1.21,-49.7,-15.69,11.5,-18.04,-10.26,-9.18000000000001,-18.7341766741299,-19.3414796384686,-14.3275757575758,-11.344538062707,-9.13238977377492,-9.08314915854418,-4.49308881712693,-9.94115955629551,-8.06336891160869,-1.66285552537004,-13.6466356299794,-9.44055303119564,-5.59445337620579,-9.10562506295961,2.62115764042682,0.861713395638619,"OK"
"Oregon",54.24,42.15,56.75,40.4,51.35,47.19,46.96,46.52,47.15,39.06,42.48,32.53,51.28,46.61,43.74,55.91,38.67,48.33,47.62,47.78,42.33,52.45,43.78,49.83,63.72,35.96,47.32,52.56,"0.00%",44.75,55.25,38.93,60.54,12.09,16.35,4.16,0.439999999999998,8.09,9.95,4.67,-12.17,-9.66,-0.160000000000004,-10.12,-6.05,27.76,-5.24,-10.5,-21.61,4.30722077373817,4.72334280105794,3.35324218437675,-0.0295906062273255,-0.0383746941085783,3.17731602146478,6.28353285633677,3.06004267730776,-0.244400685446289,-1.13380647394842,6.44969044151558,-2.82517706125381,2.58010521127414,-2.7087728402924,2.50115764042682,-5.41085823399845,"OR"
"Pennsylvania",52.08,46.68,54.47,44.15,50.92,48.42,50.6,46.43,49.17,39.97,45.15,36.13,48.39,50.7,45.99,53.34,42.48,49.59,50.4,47.73,39.13,59.11,47.59,44.02,64.92,34.7,51.06,48.74,"0.00%",43.3,56.49,46.85,52.74,5.4,10.32,2.5,4.17,9.2,9.02,-2.31,-7.35,-7.11000000000001,2.67,-19.98,3.57,30.22,2.32,-13.19,-5.89,0.769723690390189,1.54072478254137,2.50072905418184,1.88388488765692,0.430016027401847,2.09358748710662,2.73259535943924,5.46662639685895,1.44613088161475,0.310491200744445,1.61939554635979,2.35479254114926,3.82318364447279,1.07669958633899,1.14227899527199,2.49458918638067,"PA"
"Rhode Island",62.7,35.24,62.86,35.06,59.42,38.67,60.99,31.91,59.71,26.82,47.04,29.02,55.64,43.93,48.02,51.66,47.67,37.2,55.36,44.08,46.81,53,64.03,31.78,80.87,19.13,63.63,36.37,"0.00%",41.74,58.26,49.05,50.89,27.46,27.8,20.75,29.08,32.89,18.02,11.71,-3.63999999999999,10.47,11.28,-6.19,32.25,61.74,27.26,-16.52,-1.84,12.0546103383268,10.5037817994399,11.8194453454928,15.3863028252694,14.2745635937939,8.39077813746347,9.77848760983074,7.34057228373926,11.475580787232,4.62181283485172,8.68747779350885,17.2365000413058,19.5255466237942,13.5443749370404,-0.508842359573181,4.53116106423979,"RI"
